브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,25S,7FS2V2151,Wear_etc,맨투맨셋트,7FS2V2151K0001,139000,2100,CQ241200528,KRW,(주)다올인터내셔널,2024-12-11,B,내수/원화/세금계산서/DDP,내수,1373.09,7.505699,2.694652,0.796743,0.351761,4.400294,0.087394,2.30939,0.847723,10306.0,3700.0,1094.0,483.0,6042.0,120.0,3171.0,1164.0
I,25S,7FS2V2451,Wear_etc,맨투맨셋트,7FS2V2451K0001,149000,1400,CQ241200530,KRW,(주)다올인터내셔널,2024-12-11,B,내수/원화/세금계산서/DDP,내수,1373.09,6.372488,3.495765,2.031913,0.413666,6.400163,0.225768,2.744904,1.602954,8750.0,4800.0,2790.0,568.0,8788.0,310.0,3769.0,2201.0
I,25S,7FSKB0151,Bottom,스커트,7FSKB0151C0002,89000,1142,CQ241001907,KRW,주식회사 에이엠지엠브이,2024-10-29,F,소싱대행(중국생산/중국입고),중국생산,1373.09,2.92916,0.64089,0.84481,0.227953,7.000269,0.087394,1.712197,0.551311,4022.0,880.0,1160.0,313.0,9612.0,120.0,2351.0,757.0
I,25S,7FSKB0151,Bottom,스커트,7FSKB0151K0001,89000,890,CQ241001908,KRW,주식회사 에이엠지엠브이,2024-10-29,B,내수/원화/세금계산서/DDP,내수,1373.09,2.92916,0.64089,0.84481,0.232323,7.000269,0.087394,1.712197,1.49444,4022.0,880.0,1160.0,319.0,9612.0,120.0,2351.0,2052.0
I,25S,7FSKB0251,Bottom,스커트,7FSKB0251C0004,69000,1345,CQ241002004,KRW,(주)엠에스에이,2024-10-29,L,직송/원화/세금계산서/FOB,직송,1373.09,4.853287,0.0,0.640162,0.360501,4.999672,0.087394,1.573823,0.793102,6664.0,0.0,879.0,495.0,6865.0,120.0,2161.0,1089.0
I,25S,7FSKB0251,Bottom,스커트,7FSKB0251K0001,69000,2710,CQ241002003,KRW,(주)엠에스에이,2024-10-29,B,내수/원화/세금계산서/DDP,내수,1373.09,4.853287,0.0,0.640162,0.360501,4.999672,0.087394,1.573823,0.793102,6664.0,0.0,879.0,495.0,6865.0,120.0,2161.0,1089.0
I,25S,7FSKB0353,Bottom,스커트,7FSKB0353K0001,69000,910,CQ241100621,KRW,주식회사 신즈디자인하우스,2024-11-08,B,내수/원화/세금계산서/DDP,내수,1373.09,3.711337,1.33713,0.380893,0.172603,3.050055,0.087394,1.271585,0.557138,5096.0,1836.0,523.0,237.0,4188.0,120.0,1746.0,765.0
I,25S,7FSKB0453,Bottom,스커트,7FSKB0453C0003,69000,70,CQ241100311,KRW,세이코퍼레이션,2024-11-06,L,직송/원화/세금계산서/FOB,직송,1373.09,3.548202,0.0,0.44134,0.266552,3.800188,0.087394,1.168168,0.401285,4872.0,0.0,606.0,366.0,5218.0,120.0,1604.0,551.0
I,25S,7FSKB0453,Bottom,스커트,7FSKB0453K0001,69000,2950,CQ241100310,KRW,세이코퍼레이션,2024-11-06,B,내수/원화/세금계산서/DDP,내수,1373.09,3.548202,0.0,0.44134,0.266552,3.800188,0.087394,1.168168,0.401285,4872.0,0.0,606.0,366.0,5218.0,120.0,1604.0,551.0
I,25S,7FSKB0553,Bottom,스커트,7FSKB0553C0003,69000,2011,CQ241001973,KRW,(주)엠에스에이,2024-10-29,L,직송/원화/세금계산서/FOB,직송,1373.09,2.741262,0.215572,1.063295,0.227953,6.000335,0.087394,1.503179,0.489407,3764.0,296.0,1460.0,313.0,8239.0,120.0,2064.0,672.0
