브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,23N,7ASOB063N,Acc_etc,양말,7ASOB063NK0001,19000,800,CQ221100548,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,1.312782,0.0,0.499248,0.215038,0.721805,0.013534,0.253383,0.010526,1746.0,0.0,664.0,286.0,960.0,18.0,337.0,14.0
I,23N,7ASOB073N,Acc_etc,양말,7ASOB073NK0001,7900,1900,CQ230600881,KRW,준무역,2023-06-12,B,내수/원화/세금계산서/DDP,내수,1330.0,0.394737,0.0,0.096992,0.13985,0.330827,0.013534,0.123308,0.006767,525.0,0.0,129.0,186.0,440.0,18.0,164.0,9.0
I,23N,7ASOB083N,Acc_etc,양말,7ASOB083NC0001,7900,2797,CQ230600880,KRW,준무역,2023-06-12,B,내수/원화/세금계산서/DDP,내수,1330.0,0.488722,0.0,0.096992,0.13985,0.332331,0.013534,0.137594,0.006767,650.0,0.0,129.0,186.0,442.0,18.0,183.0,9.0
I,23N,7ASOB083N,Acc_etc,양말,7ASOB083NK0001,7900,6999,CQ230600879,KRW,준무역,2023-06-12,B,내수/원화/세금계산서/DDP,내수,1330.0,0.488722,0.0,0.096992,0.13985,0.332331,0.013534,0.137594,0.006767,650.0,0.0,129.0,186.0,442.0,18.0,183.0,9.0
I,23N,7ASOBV13N,Acc_etc,양말,7ASOBV13NC0001,8900,2176,CQ221100692,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.424812,0.0,0.110526,0.215038,0.300752,0.013534,0.100752,0.010526,565.0,0.0,147.0,286.0,400.0,18.0,134.0,14.0
I,23N,7ASOBV13N,Acc_etc,양말,7ASOBV13NK0001,8900,3724,CQ221100691,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.424812,0.0,0.110526,0.215038,0.300752,0.013534,0.100752,0.010526,565.0,0.0,147.0,286.0,400.0,18.0,134.0,14.0
I,23N,7ASOBV23N,Acc_etc,양말,7ASOBV23NC0001,8900,3402,CQ230500183,KRW,준무역,2023-05-10,B,내수/원화/세금계산서/DDP,내수,1330.0,0.421805,0.0,0.096992,0.13985,0.332331,0.013534,0.12782,0.006767,561.0,0.0,129.0,186.0,442.0,18.0,170.0,9.0
I,23N,7ASOBV23N,Acc_etc,양말,7ASOBV23NK0001,8900,3587,CQ230500182,KRW,준무역,2023-05-10,B,내수/원화/세금계산서/DDP,내수,1330.0,0.421805,0.0,0.096992,0.13985,0.332331,0.013534,0.12782,0.006767,561.0,0.0,129.0,186.0,442.0,18.0,170.0,9.0
I,23N,7ASOC013N,Acc_etc,양말,7ASOC013NK0001,8900,1593,CQ230500184,KRW,준무역,2023-05-10,B,내수/원화/세금계산서/DDP,내수,1330.0,0.367669,0.37594,0.096992,0.13985,0.381955,0.013534,0.183459,0.006767,489.0,500.0,129.0,186.0,508.0,18.0,244.0,9.0
I,23N,7ASOD013N,Acc_etc,양말,7ASOD013NC0001,8900,127,CQ230600878,KRW,준무역,2023-06-12,B,내수/원화/세금계산서/DDP,내수,1330.0,0.515038,0.225564,0.096992,0.13985,0.332331,0.013534,0.175188,0.006767,685.0,300.0,129.0,186.0,442.0,18.0,233.0,9.0
I,23N,7ASOD013N,Acc_etc,양말,7ASOD013NK0001,8900,1040,CQ230600877,KRW,준무역,2023-06-12,B,내수/원화/세금계산서/DDP,내수,1330.0,0.515038,0.225564,0.096992,0.13985,0.332331,0.013534,0.175188,0.006767,685.0,300.0,129.0,186.0,442.0,18.0,233.0,9.0
I,23N,7ASOE013N,Acc_etc,양말,7ASOE013NC0001,6900,1792,CQ221100694,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.354887,0.18797,0.110526,0.215038,0.300752,0.013534,0.114286,0.010526,472.0,250.0,147.0,286.0,400.0,18.0,152.0,14.0
I,23N,7ASOE013N,Acc_etc,양말,7ASOE013NK0001,6900,2184,CQ221100693,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.354887,0.18797,0.110526,0.215038,0.300752,0.013534,0.114286,0.010526,472.0,250.0,147.0,286.0,400.0,18.0,152.0,14.0
I,23N,7ASOE033N,Acc_etc,양말,7ASOE033NC0001,8900,516,CQ230500188,KRW,준무역,2023-05-10,B,내수/원화/세금계산서/DDP,내수,1330.0,0.357895,0.0,0.096992,0.13985,0.332331,0.013534,0.118045,0.006767,476.0,0.0,129.0,186.0,442.0,18.0,157.0,9.0
I,23N,7ASOE033N,Acc_etc,양말,7ASOE033NK0001,8900,1540,CQ230500187,KRW,준무역,2023-05-10,B,내수/원화/세금계산서/DDP,내수,1330.0,0.357895,0.0,0.096992,0.13985,0.332331,0.013534,0.118045,0.006767,476.0,0.0,129.0,186.0,442.0,18.0,157.0,9.0
I,23N,7ASOH033N,Acc_etc,양말,7ASOH033NK0001,8900,5084,CQ221100695,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.533083,0.18797,0.110526,0.215038,0.300752,0.013534,0.13609,0.010526,709.0,250.0,147.0,286.0,400.0,18.0,181.0,14.0
I,23N,7ASOH043N,Acc_etc,양말,7ASOH043NK0001,8900,2311,CQ230500190,KRW,준무역,2023-05-10,B,내수/원화/세금계산서/DDP,내수,1330.0,0.403759,0.300752,0.096992,0.13985,0.332331,0.013534,0.169925,0.006767,537.0,400.0,129.0,186.0,442.0,18.0,226.0,9.0
I,23N,7ASOK013N,Acc_etc,양말,7ASOK013NC0001,9900,430,CQ221100576,KRW,준무역,2022-11-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.516541,0.18797,0.110526,0.215038,0.344361,0.013534,0.139098,0.010526,687.0,250.0,147.0,286.0,458.0,18.0,185.0,14.0
